Year ,District,PPM
2018,Trichy,0.0
2018,Thiruvallur,20.1
2018,Thiruvallur,34.9
2018,Thiruvallur,0.0
2018,Thiruvallur,24.3
2018,Thiruvallur,29.6
2018,Thiruvallur,0.0
2018,Thiruvallur,36.0
2018,Thiruvallur,25.4
2018,Thiruvallur,25.4
2018,Tirunelveli,25.4
2018,Tirunelveli,0.0
2018,Tirunelveli,27.5
2018,Tirunelveli,20.1
2018,Tirunelveli,23.3
2018,Tirunelveli,63.5
2018,Tirunelveli,45.5
2018,Tirunelveli,49.7
2018,Tirunelveli,38.1
2018,Tirunelveli,22.2
2018,Tirunelveli,0.0
2018,Tirunelveli,44.4
2018,Tirunelveli,0.0
2018,Tirunelveli,30.7
2018,Tirunelveli,16.9
2018,Tirunelveli,28.6
2018,Tirunelveli,5.3
2018,Tirunelveli,28.6
2018,Tirunelveli,31.7
2018,Tirunelveli,62.4
2018,Tirunelveli,59.2
2018,Tirunelveli,24.3
2018,Tiruppur,0.0
2018,Tiruppur,0.0
2018,Tiruppur,6.3
2018,Tiruppur,36.0
2018,Tiruppur,10.6
2018,Tiruppur,28.6
2018,Tiruppur,9.5
2018,Tiruppur,37.0
2018,Tiruppur,0.0
2018,Tiruppur,42.3
2018,Tiruppur,32.8
2018,Tiruppur,40.2
2018,Tiruppur,7.4
2018,Tiruppur,23.3
2018,Tiruppur,33.9
2018,Tiruppur,40.2
2018,Tiruppur,27.5
2018,Tiruppur,19.0
2018,Tiruppur,8.5
2018,Tiruppur,22.2
2018,Tiruppur,26.5
2018,Tiruppur,27.5
2018,Tiruppur,33.9
2018,Tiruppur,19.0
2018,Tiruppur,0.0
2018,Tiruppur,0.0
2018,Tiruppur,38.1
2018,Tiruvannamalai,2.1
2018,Tiruvannamalai,6.3
2018,Tiruvannamalai,5.3
2018,Tiruvannamalai,7.4
2018,Tiruvannamalai,27.5
2018,Tiruvannamalai,49.7
2018,Tiruvannamalai,28.6
2018,Tiruvannamalai,7.4
2018,Tiruvannamalai,21.2
2018,Tiruvannamalai,15.9
2018,Tiruvannamalai,28.6
2018,Tiruvannamalai,3.2
2018,Tiruvannamalai,37.0
2018,Tiruvannamalai,44.4
2018,Tiruvannamalai,22.2
2018,Tiruvannamalai,6.3
2018,Tiruvannamalai,33.9
2018,Tiruvannamalai,20.1
2018,Tiruvannamalai,9.5
2018,Tiruvannamalai,46.6
2018,Tiruvannamalai,16.9
2018,Tiruvannamalai,30.7
2018,Tiruvannamalai,15.9
