Salt Type,Brand,PPM
Crystal,Mercy,0.0
Crystal,Samuthra,0.0
Refined,Kristal,30.7
Powder,Makilchi,0.0
Refined,Sakthi,0.0
Crystal,kasthuri,10.6
Refined,Amma,29.6
Refined,Richi,0.0
Refined,Suirya,13.8
Refined,Tru,8.5
Refined,Anil,14.8
Refined,ARS,0.0
Crystal,Tata,4.2
Crystal,Mahilchi,0.0
Refined,Aashirvad,31.7
Crystal,Anil,37.0
Refined,Anil,41.3
Crystal,Sea Gold,24.3
Crystal,Kasthuri,64.5
Crystal,Kasthuri,0.0
Crystal,Kasthuri,21.2
Refined,Susee,42.3
Crystal,Xcell,9.5
Crystal,Mercy,34.9
Refined,Day,32.8
Crystal,Rishi,40.2
Crystal,New Escee,50.8
Crystal,Premium,25.4
Refined,Aashirvad,7.4
Crystal,Rishi,20.1
Refined,Marvel,4.2
Crystal,New Mercy,9.5
Crystal,Susee Premium,0.0
Crystal,Day Premium,0.0
Refined,Sprinkle,24.3
Refined,Kristal,0.0
Refined,Marvel,34.9
Crystal,Tata,9.5
Crystal,Kasthuri,52.9
Powder,Mahilshi,0.0
Crystal,Laskhmi,0.0
Crystal,Super King,0.0
Crystal,Ture,27.5
Refined,Sprinkle,54.0
Refined,Rathinam,78.3
Crystal,Rathinam Gold,25.4
Refined,Shanmuga,31.7
Crystal,Rathinam,40.2
Refined,Annapoorna,25.4
Refined,I-Sakthi,20.1
Refined,Ganga,39.1
Refined,Sarvana,24.3
Refined,Kristal,27.5
Refined,Kristal,25.4
Crystal,Rathinam Gold,40.2
Crystal,Rathinam,14.8
Refined,Kristal,23.3
Crystal,Kristal,54.0
Refined,Tata,36.0
Crystal,Shanmay,24.3
Refined,Tata,38.1
Refined,Kristal,33.9
Refined,Aashirvaad,47.6
Crystal,Shanmuga,26.5
Refined,Anil,21.2
Crystal,Samuthra,16.9
Refined,Tata,38.1
Refined,Kristal,29.6
Crystal,Shanmuga,30.7
Refined,Saravana,27.5
Powder,SLS,20.1
Refined,Subam,38.1
Crystal,Kristal,52.9
Refined,Tata,38.1
Refined,Saravana,28.6
Crystal,Annapoorna,40.2
Refined,S.S,54.0
Crystal,Tru,30.7
Refined,Priyam,26.5
Refined,S.S,31.7
Refined,Tru,29.6
Refined,Escee,28.6
Crystal,Saravana,22.2
Crystal,MSP,50.8
Refined,Samudra,10.6
Refined,Saravana,24.3
Refined,Aashirvaad,62.4
Refined,Sanmuga,14.8
Crystal,SS,41.3
Refined,Kristal,25.4
Crystal,Sea Gold,19.0
Refined,Tata,18.0
Refined,Susee,18.0
Crystal,Susee,28.6
Refined,Tata,30.7
Refined,I-Flow,19.0
Crystal,Tata,24.3
Refined,I-Sakthi,32.8
Refined,Susee,21.2
Crystal,SLS,6.3
Refined,Tata,40.2
Refined,SLS,18.0
Refined,I-Flo,40.2
Crystal,Susee,11.6
Powder,Siva,6.3
Crystal,Raja,6.3
Powder,Sri Karpaga Vinayaga,0.0
Refined,marvel,26.5
Refined,Rubini,6.3
Powder,Thiru,5.3
Crystal,Anil,38.1
Crystal,Saravana,16.9
Crystal,Saravana,26.5
Refined,Tata,34.9
Refined,Day,38.1
Refined,Tata,34.9
Refined,Tata,40.2
Refined,Day,32.8
Crystal,SLS Gold,22.2
Refined,Marvel,30.7
Refined,Anandapoorna,20.1
Crystal,Raja,0.0
Crystal,Priya,27.5
Refined,VKS tru,32.8
Refined,I-Sakthi,18.0
Refined,New Escee Kristal,28.6
Crystal,VVD Priyam,32.8
Crystal,Udhayam,24.3
Crystal,SHANKAR,11.6
Refined,SEA SUN,28.6
Crystal,UDHAIYAM,34.9
Refined,TATA,37.0
Refined,TATA,28.6
Crystal,MVS Sri Ram,55.0
Refined,Sri Ram,0.0
Powder,Jhamirabarani,27.5
Crystal,Aashirvad,46.6
Crystal,Sea Sun,21.2
Refined,Aashirvad,30.7
Powder,Gold Star,0.0
Crystal,Anil,65.6
Crystal,Tata,16.9
Crystal,Diamond,36.0
Crystal,Saffola,21.2
Crystal,Sea Sun,23.3
Crystal,Trisakthi,3.2
Crystal,Makizhchi,0.0
Crystal,Aashirvaad,5.3
Crystal,MSD,6.3
Powder,Arasu,15.9
Crystal,Premium,24.3
Refined,Premium,25.4
Crystal,Thangathai,0.0
Refined,Kristal,31.7
Crystal,Kristal,42.3
Crystal,Sprinkle,32.8
Refined,Sdha,42.3
Crystal,Priyam,31.7
Crystal,Lakshmi,0.0
Refined,Sprinkle,56.1
Crystal,Kristal,42.3
Refined,Arasu,42.3
Crystal,Thamiraparani,0.0
Crystal,Sprinkle,47.6
Powder,Winner,25.4
Crystal,Sea Sun,11.6
Powder,Winner,40.2
